Supplier Name,Sum of Invoice Nett Amount
Ashmill Residential Care Home Ltd,"3,006.33"
MAS Systems Ltd,"3,024.68"
Kindercare Fostering Ltd,"3,058.50"
Bupa Care Homes  Seabrooke Manor Residential & Nursing Home,"3,058.51"
Gary Walker,"3,090.00"
St Christophers Fellowship,"3,108.99"
GE Equipment Services Ltd,"3,116.96"
Milton Court Care Centre,"3,131.00"
IIZUKA Software Technologies Ltd,"3,150.00"
Playcare Lambeth,"3,173.53"
Cherrycroft Care Home Limited,"3,198.27"
Swift LG Ltd,"3,200.00"
Anne Thorne Architects,"3,200.00"
Ty Connections Ltd,"3,217.16"
T. V. Edwards LLP,"3,236.49"
Mount Carmel,"3,241.47"
Holmwood Nursing Home Ltd,"3,243.48"
Rosedale Residential Home,"3,254.57"
Scott House,"3,257.48"
Playsafe Playgrounds Ltd,"3,263.00"
Axcis Education Recruitment,"3,295.00"
Sweet Tree Home Care Services,"3,306.00"
Pellings LLP,"3,333.62"
James Kane Nursery,"3,334.00"
Colin Buchanan And Partners,"3,370.35"
Bs Project Services Ltd,"3,437.85"
University Of Warwick,"3,450.00"
Amey BPO Services Limited,"3,472.11"
CIPFA Business Limited,"3,473.53"
GSA,"3,480.00"
Crystal Rest Home,"3,489.75"
W C Evans & Sons Ltd,"3,490.00"
Hyde Southbank Homes,"3,499.56"
The Fremantle Trust,"3,542.86"
Wimborne House Ltd,"3,542.86"
St Georges Nursing Home,"3,565.00"
Leonard Cheshire Disability,"3,599.41"
Rosina Lodge Residential Home,"3,600.98"
Smart Teachers,"3,636.00"
Cricklade House,"3,661.04"
Shaftesbury Housing Group,"3,667.24"
11 Kings Bench Walk,"3,675.00"
Ayerst Environmental Ltd,"3,685.00"
QA-IQ Ltd.,"3,700.00"
Croham Care Services,"3,708.72"
Lambeth Business Against Crime Limited,"3,744.00"
Workspace Management Ltd,"3,745.36"
Cobbetts LLP,"3,760.64"
Independent Lifestyle Options DCA Ltd,"3,764.28"
BUPA Care Services,"3,780.32"
Matrix Training Associates Ltd,"3,808.00"
St Marys Lodge,"3,826.80"
Kasper Ltd,"3,826.95"
Graham House Residential Care Home,"3,846.17"
Priory The Vines,"3,852.21"
P E Modile T/A Laglin House,"3,857.14"
Tracescent Ltd,"3,882.62"
Scotts Project Trust,"3,906.96"
EnhanceAble,"3,978.47"
The Royal National Institute For Deaf People,"3,985.41"
Capita Symonds Ltd,"4,000.00"
One London Ltd,"4,000.00"
Soderholm & Associates,"4,021.00"
Birdel Flooring Contractors Ltd,"4,038.00"
Thf Care Estates Ltd,"4,040.63"
Clapham Park Homes,"4,040.68"
Nightingale House,"4,084.20"
Beacon House Nursing Home,"4,103.55"
Acorn Village,"4,103.66"
Virgin Media Business,"4,131.08"
Mr Kieron Hanlon,"4,135.14"
Myatts Field Park Project Group,"4,160.88"
Volunteer Reading Help,"4,166.88"
Kip McGrath Education Centre,"4,200.00"
Hilldales Residential Care Homes,"4,207.14"
Cameron Lodge Residential Care,"4,224.64"
Freeway Lift Services,"4,272.00"
Avens Ltd,"4,305.44"
Streatham & Clapham High School,"4,308.58"
Hereson House Ltd,"4,325.16"
Clear Channel UK Ltd,"4,360.00"
Lifeways Community Care Limited,"4,380.97"
Prime Time Recruitment Ltd,"4,395.33"
Royal Masonic Benevolent Institution,"4,420.29"
White Rose Care,"4,430.26"
Test Valley Mobility,"4,452.85"
Alexander Family Nursing Home,"4,470.51"
Sir Frederick Snow & Partners Ltd,"4,529.60"
Whatever Design Ltd,"4,579.00"
South East Traffic Consultants Ltd,"4,630.00"
Shaftesbury Homes & Arethusa,"4,639.88"
Springmarsh Homes Ltd,"4,647.31"
Loomis UK Ltd,"4,660.71"
London & Surrey Gas Services Ltd,"4,678.70"
J S Estates Ltd,"4,687.75"
Downing (Chertsey Road) Ltd,"4,693.46"
London Mutual Credit Union Ltd,"4,700.00"
Milbury Care Services Ltd,"4,706.46"
Guys & St Thomas NHS Trust,"4,779.76"
Vertal Ltd,"4,792.00"
Orchids Fostering for Children LLP,"4,794.92"
The Boulters,"4,800.00"
Barrettine,"4,813.90"
Community Trust Housing,"4,833.44"
Macintyre Care,"4,856.33"
Land Use Consultants,"4,866.00"
Als-Akamas Ltd,"4,950.00"
Greenacres Care Homes Ltd,"4,953.40"
Fieldside Care Home,"4,997.47"
Hornsong Ltd,"5,000.00"
London Active Communities,"5,000.00"
Faiths Together In Lambeth,"5,000.00"
Gould Building Services,"5,000.00"
Solace Community Care Ltd,"5,012.74"
Miss Noemi Byrd,"5,050.00"
Property Facilities Group PLC,"5,050.20"
Kairos Community Trust,"5,159.28"
British Gas Business,"5,161.71"
Weightmans Solicitors,"5,200.00"
Faces In Focus,"5,208.00"
Mrs Mahira Azawi,"5,232.00"
Focus on Fostering Ltd,"5,261.63"
BNP Paribas,"5,310.00"
Metropolitan Housing Trust,"5,317.00"
Vietnamese Mental Health Services,"5,341.48"
Stor-a-File Imaging Ltd,"5,359.61"
