Supplier Name,Total
Outer Temple Chambers,"4,650.00"
Fieldside Care Home,"4,646.85"
Chigwell Construction (London) Ltd,"4,585.00"
Beecholme Adult Care,"4,561.43"
Gardiner & Theobald LLP,"4,500.00"
White Young Green Consulting Ltd,"4,408.25"
Capital Cars,"4,391.00"
Automotive Leasing Limited,"4,348.50"
Avens Ltd,"4,295.04"
East View Housing,"4,290.71"
Workspace Group Plc,"4,277.84"
Residential Community Care Ltd,"4,226.20"
Cameron Lodge Residential Care,"4,224.64"
Hilldales Residential Care Homes,"4,207.15"
First Care Lodge Ltd,"4,207.14"
Champions Place,"4,195.98"
Birdel Flooring Contractors Ltd,"4,123.00"
Beacon House Nursing Home,"4,119.28"
Allied Supported Living Ltd,"4,110.29"
Acorn Village,"4,092.12"
Chislehurst Care Ltd,"4,062.37"
Unicorn House,"4,054.80"
Cobbetts LLP,"4,053.20"
Thf Care Estates Ltd,"4,029.11"
Baily Garner,"4,000.00"
Lambeth Unison,"4,000.00"
Khair Day care,"3,990.00"
Oakfield Easton Maudit Ltd,"3,981.95"
RNID T/A Action On Hearing Loss,"3,973.89"
Scotts Project Trust,"3,896.56"
Citibank NA,"3,885.98"
Priory The Vines,"3,846.22"
AmicusHorizon Ltd,"3,840.08"
Graham House Residential Care Home,"3,826.45"
Goodwill Associates Limited,"3,815.00"
PHS Group Ltd,"3,766.53"
Independent Lifestyle Options DCA Ltd,"3,764.28"
Mrs Shan Pinna-Griffith,"3,750.00"
Ascendit Lifts Ltd,"3,725.00"
British Telecommunications Plc,"3,704.21"
Aintree Day Nursery & Kids Club,"3,675.00"
George Potter Care Home Limited,"3,627.56"
Victim Support Lambeth,"3,616.47"
Hopperways Limited,"3,600.00"
TLT LLP,"3,533.00"
L'Ouverture Trust Limited,"3,500.00"
Askews and Holts Library Services Ltd,"3,489.39"
Atlantic Lodge (Housing) Ltd,"3,480.00"
Watmores Solicitors,"3,470.00"
Raglan Housing Association,"3,454.80"
Eversheds LLP,"3,354.00"
Orchids Fostering for Children LLP,"3,199.84"
Cherrycroft Care Home Limited,"3,198.27"
Lambeth Contact A Family,"3,158.95"
Milton Court Care Centre,"3,131.00"
Sunbeam Fostering Agency Ltd,"3,125.59"
Tycos UK Ltd,"3,105.00"
Holmdene Housing Ltd,"3,104.00"
Acton Writers Forum,"3,100.00"
Bupa Care Homes  Seabrooke Manor Residential & Nursing Home,"3,077.06"
Living Accomodation Ltd,"3,034.00"
TBS Adaptations Ltd,"3,016.92"
Ashmill Residential Care Home Ltd,"2,994.83"
Royal Masonic Benevolent Institution,"2,957.15"
David Lewis Centre,"2,953.51"
The Friendly Almshouses,"2,940.56"
Sir Frederick Snow & Partners Ltd,"2,925.00"
Access Mobility Transport Ltd,"2,908.00"
Workspace Management Plc,"2,881.66"
Alice Lodge,"2,878.58"
Serenita Care Home,"2,878.57"
Families For Children (South) Ltd,"2,877.84"
Evelyn Grace Academy,"2,820.00"
Healthcare & Transport Services,"2,794.60"
Dunheved Lodge,"2,759.00"
Beulah House Hotel,"2,745.00"
Haverstock Associates LLP,"2,732.00"
RSP Rail Travel Account,"2,711.80"
Document Technology Ltd,"2,695.00"
LexisNexis Butterworths,"2,693.00"
Nellsar Ltd,"2,685.44"
Hillcrest Care Ltd,"2,675.31"
Southern Electric Plc,"2,661.99"
Pitney Bowes Management Services Ltd,"2,652.26"
Calfordseaden,"2,650.00"
Plan Personnel,"2,628.75"
Outlook Fostering Services Ltd,"2,622.60"
Draftcreate Ltd,"2,603.91"
Extrafriend Ltd,"2,598.51"
Whitworth Lodge,"2,594.09"
Lyco Direct Ltd,"2,565.36"
Prospect Housing & Support Services,"2,559.00"
Family Care Homes Ltd,"2,519.72"
Premier Care Ltd,"2,513.45"
The Hornchurch Nursing Centre,"2,480.00"
Freeway Lift Services,"2,444.00"
Workspace Management Ltd,"2,441.35"
Camden Lodge Residential Care Home,"2,435.72"
Larkfield Hall Ltd,"2,417.69"
Burnside Associates Limited,"2,400.00"
Hyder Consulting Ltd,"2,380.00"
Mornington Hall Nursing Home,"2,377.27"
Handicare Accessibility Ltd,"2,369.18"
CBS Outdoor Ltd,"2,342.50"
Whippersnappers,"2,333.50"
Volunteer Reading Help,"2,333.00"
355 Clapham Road Management,"2,328.85"
Julian Date,"2,325.00"
Care and Residential Homes Ltd,"2,281.15"
Nightingale House,"2,254.15"
The Childrens Trust,"2,252.00"
Price Direct Ltd,"2,250.00"
Road Runner TCA Ltd,"2,250.00"
Enmore Lodge Ltd,"2,241.97"
Abbeyfield Society Ltd,"2,238.48"
West Lodge Nursing & Residential Home,"2,220.05"
Chrysalis Community Care Group Ltd,"2,219.20"
Kilncroft Rest Home,"2,218.93"
Abbeyfield Stangrove Lodge,"2,199.40"
Anthony Gold Solicitors,"2,173.24"
Roseacre Care Ltd,"2,156.40"
Devonshire Partnership Ltd,"2,140.00"
Cricklade House,"2,126.25"
Tamaris South East Ltd,"2,075.85"
Grove House Residential Care Home,"2,057.52"
Oval Events Ltd,"2,043.90"
Mears,"2,043.36"
Richmond Upon Thames Churches Housing Trust,"2,025.31"
Leys Park Care Centre,"2,019.87"
Beverley Lodge Nursing Home,"2,009.25"
Commhoist Ltd,"2,000.00"
Livius Refurbishments,"2,000.00"
The Type Archive,"2,000.00"
Excelcare Ltd,"1,984.14"
Saxon Court,"1,983.60"
Freeways Trust Ltd,"1,964.84"
Greenbushes Nursing Home,"1,957.25"
The London Care Project,"1,955.62"
Rusthall Lodge Nursing Home,"1,919.60"
Supporting U Ltd,"1,919.00"
Barchester Healthcare Ltd,"1,910.05"
Broadlands Nursing Home,"1,863.32"
Miss Barbara Frempong,"1,826.00"
Cool Milk Ltd,"1,822.80"
F & C Consulting Services,"1,820.00"
2-3 Gray's Inn Square,"1,800.00"
Cognetix Limited,"1,800.00"
BPP Professional Education,"1,767.15"
Beech Care Ltd,"1,762.24"
Brightlights,"1,755.40"
Charing Healthcare,"1,753.72"
Commercial Skills Limited,"1,750.00"
Steel & Shamash Solicitors,"1,741.02"
Meadbank Nursing Centre,"1,736.26"
Vermont Lodge,"1,725.46"
Friends of Streatham Vale Park,"1,722.97"
Nicholas James Care Homes Ltd,"1,713.99"
Goldsborough Home Care,"1,707.57"
Lambeth Accord,"1,689.00"
New Century Care Ltd,"1,688.04"
Cyclescheme Ltd,"1,687.65"
British Gas,"1,682.87"
The Avenue Nursing Home,"1,669.35"
Contract Homes,"1,661.00"
Kenwood Care Home,"1,659.56"
Symantec Ltd,"1,649.00"
God's Ports Housing Society Ltd,"1,648.13"
Crofton Design,"1,640.00"
LOCN,"1,638.00"
Holmwood Nursing Home Ltd,"1,625.83"
TCR Training Ltd,"1,620.00"
Abbeyfield Dorcas Society,"1,612.72"
"Weybourne Residential Care Home, Avante Partnership","1,609.97"
Yara Enterprises Ltd,"1,581.12"
Alastair Wilson,"1,575.00"
Beckenham Management Services Ltd,"1,575.00"
Joanna Youll,"1,575.00"
Dawson & Son Electrical Contractors Ltd,"1,570.00"
HSS Hire Service Group PLC,"1,552.28"
Surrey Rest Homes Ltd,"1,548.64"
Farmstead Nursing Home,"1,547.91"
Grange Cottage Residential Home,"1,529.01"
Rogers & Co Chartered Building Surveyors,"1,515.00"
388 STREATHAM HUB LTD,"1,500.00"
Lloyd Park Nursing Home,"1,484.67"
Ploszajski Lynch Consulting Ltd,"1,482.50"
Masters Legal Costs Services,"1,479.76"
Mediworld Limited,"1,479.33"
AME Disability Consultants Ltd,"1,475.00"
Miss Tahmina Rahman,"1,465.00"
RCP Landscapes Ltd,"1,462.50"
Garth House Nursing Home,"1,450.41"
Voice For The Child In Care,"1,447.52"
All About Care,"1,444.82"
Methodist Homes,"1,441.72"
Hayes Court,"1,437.74"
Addlestone Lodge,"1,422.28"
Blake House,"1,412.00"
St Helens Lodge,"1,399.17"
Autumn Lodge Care Home,"1,392.79"
Gillian Stringer,"1,392.00"
Rosedale Residential Home,"1,387.51"
Blue Rose Construction LTD,"1,384.09"
Wernick Event Hire Ltd,"1,375.00"
Sight and Sound,"1,355.00"
Somerset Care,"1,350.46"
Westholme Clinic Ltd,"1,342.65"
Dudwell St. Mary Care Home,"1,326.52"
Rosina Lodge Residential Home,"1,325.25"
Surrey Heights,"1,311.25"
